"Geography","CancerDeaths","medIncome","popEst2015","povertyPercent","MedianAge","AvgHouseholdSize","PercentMarried","PctUnemployed16_Over","BirthRate"
"Ward County, Texas",189.6,53244,11721,14,34.8,2.86,50,4.4,7.0703125
"Johnson County, Nebraska",185.6,48511,5173,13.9,42.3,2.13,48.5,3.6,4.337050805
"Dallas County, Alabama",217.4,26602,41131,35.2,38.7,2.53,33.4,16.4,8.433257358
"Fauquier County, Virginia",162.9,89106,68782,7.4,41.5,2.84,57.5,5,5.083533771
"Utah County, Utah",120.4,60957,575205,12.6,24.4,3.62,58.8,5.5,8.614426925
"Madison County, Kentucky",205,44358,87824,19.7,33.9,2.49,44.8,8.6,4.761498421
"Sac County, Iowa",174.1,49513,10021,10.8,46.1,2.25,59.3,4,8.116710875
"Shannon County, Missouri",210.7,27382,8258,28.2,44.5,2.5,54.6,9.2,7.147111376
"Carbon County, Utah",155.9,47340,20479,15.7,35.1,2.61,54.3,7.4,8.165882856
"Union County, Indiana",192.3,47410,7182,13.8,42.1,2.44,55,7.7,3.571428571
"Oconee County, South Carolina",172.9,39548,75713,17.5,44.3,2.43,53.8,10.4,6.598098195
"Turner County, Georgia",197,32171,8214,31.7,38,2.63,41.8,12.5,0.476758045
"Meade County, South Dakota",147.9,54771,26986,10.4,36.2,2.42,61.8,2.3,9.527108955
"Cowley County, Kansas",184.4,45180,35788,15,38.2,2.48,51.9,7,7.404550713
"Morgan County, Georgia",172.3,50295,18046,15,43.2,2.76,53.8,6.9,3.7027833
"Hodgeman County, Kansas",127.6,52394,1893,8.8,47.8,2.36,65.5,2.5,9.393939394
"Lawrence County, Kentucky",269.2,32835,15745,25.9,40.3,2.6,57.2,7.8,3.753424658
"Wagoner County, Oklahoma",177.5,58921,76559,9.8,38.4,2.74,57.5,6,4.655824075
"Lincoln Parish, Louisiana",205.7,32889,47774,29.7,27.4,2.56,35,11.9,4.279213153
"Lincoln County, Washington",144.4,49955,10321,12.5,48.3,2.34,57.8,4.8,6.796657382
"Adams County, Idaho",121,40777,3843,14.9,51.3,2.39,55.3,11.3,9.375
"Pickaway County, Ohio",197.4,54868,56998,13.2,39.1,2.68,51.3,6.9,5.002432301
"Dougherty County, Georgia",194.2,32150,91332,31.7,34.2,2.52,33.6,18,6.218730618
"Benton County, Iowa",163.2,61931,25658,8.8,41.4,2.51,61.8,4.7,6.183093392
"Sully County, South Dakota",179.1,59879,1426,6.3,44.6,2.34,60.3,1.7,13.62007168
"Del Norte County, California",185.4,41419,27254,22.4,38.8,2.55,40.8,11.5,9.278553175
"Wabaunsee County, Kansas",150.3,59160,6951,9.6,42.1,2.59,61.2,6.2,4.111600587
"West Feliciana Parish, Louisiana",148.2,53679,15385,24,40.4,3.04,36.1,8.5,6.799830004
"La Plata County, Colorado",129.3,60658,54688,10.7,38.8,2.38,51,5.2,5.222636717
"Matagorda County, Texas",166.6,41587,36770,22.1,37.2,2.7,50.4,6.4,8.922207202
"Madison County, Arkansas",195.3,39158,15767,18,41.8,2.46,62.2,7.3,3.234421365
"Haskell County, Oklahoma",200,35313,12845,24.5,40,2.6,54.6,8.7,5.772811918
"Quitman County, Mississippi",254.5,26204,7486,36.2,38.5,2.49,36,25.3,6.153846154
"Contra Costa County, California",151.5,80338,1126745,10.5,38.8,2.82,51.5,8.8,5.114550334
"Custer County, South Dakota",158.7,51244,8446,10.7,52.8,2.12,63.6,5.2,4.363636364
"Overton County, Tennessee",220.1,35884,22129,18.9,42.2,2.45,61.3,7.7,3.83125269
"Callahan County, Texas",215.5,40796,13557,16.3,43.5,2.55,52.2,5.4,6.774774775
"Licking County, Ohio",188.8,57308,170570,13.5,39.7,2.57,54.3,7.2,5.540748334
"Boone County, West Virginia",236.7,37625,23372,22.1,41.9,2.5,55.2,9.2,4.220287661
"Antelope County, Nebraska",139,50919,6414,14,46.5,2.27,66,1.6,8.048993876
"Daniels County, Montana",197.5,47376,1760,10.8,50.3,1.99,57.2,2.6,7.560137457
"Livingston Parish, Louisiana",186.5,58818,137788,12.3,35.3,2.79,52.2,7,5.711293942
"Marshall County, Minnesota",148.2,54433,9423,9.6,43.8,2.32,59.4,4.7,6.110201855
"Washington County, Oregon",145.5,66315,574326,12.5,36.1,2.66,53,7.6,5.186880244
"Putnam County, West Virginia",171.5,59472,56848,10,41,2.6,57.4,3.7,6.034482759
"Fulton County, Arkansas",175,33347,12204,22.6,48,2.27,62.2,7.6,8.096280088
"Karnes County, Texas",178.1,43986,14975,22.3,35.5,2.83,43,4.8,9.297604547
"Greenlee County, Arizona",161.2,59416,9529,10.3,33,2.78,49.6,10,7.95730228
"Venango County, Pennsylvania",199.4,43810,53119,16.2,45.4,2.38,53.5,8.1,5.128205128
"Muskingum County, Ohio",211.5,41814,86290,19.1,40.3,0.0245,49.4,8.3,5.739536774
"Mason County, West Virginia",209.5,35799,27037,20.6,43,2.44,51.6,10.3,3.66910141
"District of Columbia, District of Columbia",182.3,69992,672228,18.4,33.7,2.22,27.3,9.6,4.581891653
"Effingham County, Illinois",180.1,52578,34371,11.8,38.9,2.54,54.1,5.4,4.731034483
"Harney County, Oregon",162.7,36340,7200,21.3,46.2,2.32,61.4,16.1,8.321273517
"Stewart County, Georgia",228.8,27635,5851,39.4,38,2.48,23.1,14.5,2.584269663
"Chouteau County, Montana",136.8,41004,5767,19.4,41.1,2.5,54.6,4.3,8.205128205
"Shelby County, Alabama",154.8,69432,208713,9.6,37.9,2.66,57.4,5.5,4.49704142
"Polk County, Texas",215.6,41401,46972,18.5,43.5,2.4,51.5,10,7.024390244
"Johnson County, Arkansas",176.9,34923,26141,19.7,38.1,2.5,54.6,6.2,8.562113933
"Jefferson County, Missouri",203.6,58976,224124,10.6,38.6,2.68,54.3,8.3,5.258811102
"Castro County, Texas",163.3,42966,7656,19.4,34.6,3.14,52.5,4.7,7.665301346
"Grundy County, Iowa",151.8,61215,12435,6.7,42.2,2.37,62.7,3.9,6.03588907
"Barnes County, North Dakota",173.1,52376,11099,10.3,42.8,2.07,58,2.4,8.043956044
"Garfield County, Colorado",126.4,62529,58095,10.2,35.9,2.72,57.8,6.9,4.502177282
"Mississippi County, Missouri",270.5,30661,14036,32.2,39.3,2.41,41.6,12.2,5.214497041
"Lawrence County, Alabama",193.3,41574,33115,16.6,41.7,2.46,54.4,9.8,4.830100247
"Pierce County, Nebraska",159.5,53489,7208,10,41.3,2.4,64.3,4.7,9.160305344
"Burt County, Nebraska",201.4,49345,6585,10.6,47.4,2.33,60.7,3.3,7.352941176
"Sumter County, Georgia",181.7,34017,30779,33.9,34.6,2.58,37.6,14.4,6.812933025
"Victoria County, Texas",165.8,51003,92382,15.8,35.7,2.73,50.6,6.5,6.155041017
"Kershaw County, South Carolina",219.4,45411,63603,17.4,41.3,2.58,50.1,10.5,6.021818182
"Otsego County, New York",173.8,43104,60636,18.9,41.6,2.36,46.1,7.1,4.59877366
"Arkansas County, Arkansas",201.7,36409,18433,20.4,41.4,2.39,49.8,8.3,7.128810226
"Lake County, Montana",156.8,38221,29457,22.7,41.6,2.38,54.1,9.9,7.388908026
"Dale County, Alabama",189.1,41940,49565,22.4,36.8,2.56,50.6,10.9,4.908292431
"Monroe County, Georgia",139.2,53542,27103,14.8,41.9,2.68,51.1,10.5,4.581280788
"Colbert County, Alabama",190.5,43057,54354,16.7,42.2,2.43,51.1,9,3.673864003
"Schenectady County, New York",175.7,56508,154604,13.2,39.9,2.65,44.8,7.4,5.183987725
"Carroll County, Ohio",172.8,46177,27811,13.5,44.5,2.54,58.4,7.1,5.228870221
"Laramie County, Wyoming",156.1,57192,97121,10.8,36.7,2.51,53.3,5,5.053669323
"Halifax County, Virginia",178.3,39079,35125,18,45.3,2.43,47.8,7.5,5.521048999
"Hamilton County, Indiana",146.5,89861,309697,4.9,36.1,2.73,62.3,4.3,5.756462494
"Stevens County, Minnesota",146.2,55292,9796,14.2,32.7,2.55,51.3,3.1,6.221294363
"Burnett County, Wisconsin",190.1,41810,15159,16.5,50.9,2.08,59,7.5,4.96054115
"Lafayette County, Wisconsin",166,52260,16829,11.7,41.4,2.51,57.4,3.6,5.702647658
"Anderson County, Tennessee",195.6,46689,75749,15.6,43.2,2.43,48.8,7.7,3.957446809
"Erie County, Ohio",193.7,49234,75550,13.9,44,2.35,50.1,7.7,4.607982234
"Kinney County, Texas",179,39335,3549,21,44.9,3,56.7,13.2,1.660795169
"Washington County, Nebraska",159.2,69191,20248,7.4,41.2,2.48,63.5,1.4,5.725611099
"Tazewell County, Virginia",208.1,38292,42899,19.2,43.1,2.38,53.9,8,6.033920417
"Bath County, Virginia",173,43852,4470,11.5,48.3,2.1,55.1,6,8.043694141
"Bremer County, Iowa",129.8,62438,24722,7.6,38.6,2.45,57.4,3.9,3.94922426
"Calhoun County, Florida",174.7,35256,14462,22.3,40.5,2.64,44.6,10,4.5
"Rio Grande County, Colorado",136.5,40593,11543,18.3,40.9,2.49,55.5,8.1,4.941176471
